,DA_FB_Ht_40,DA_Ran_Ht_40,DA_Reg_Ht_40,DA_USPG_Ht_40,ecc_clo_FB_Ht_40,ecc_clo_Ran_Ht_40,ecc_clo_Reg_Ht_40,ecc_clo_USPG_Ht_40,lpsi_FB_Ht_40,lpsi_Ran_Ht_40,lpsi_Reg_Ht_40,lpsi_USPG_Ht_40,mdl_FB_Ht_40,mdl_Ran_Ht_40,mdl_Reg_Ht_40,mdl_USPG_Ht_40
88,1,3,4,7,3,3,0,1,4,4,3,7,2,4,4,10
89,2,2,1,15,2,2,0,6,2,4,4,8,2,4,1,10
90,1,1,1,18,1,2,2,8,3,4,1,18,2,4,1,11
91,1,4,1,2,1,4,1,5,3,4,1,13,2,5,1,9
92,1,2,0,16,1,2,0,6,3,3,2,13,2,5,0,8
93,2,1,2,13,2,0,1,7,3,3,6,20,3,4,2,8
94,1,2,5,15,1,1,1,5,3,4,5,12,2,3,5,10
95,3,2,1,16,3,4,0,7,4,3,6,9,2,4,1,11
96,2,1,1,10,2,0,2,3,2,4,5,7,2,5,1,5
97,2,3,2,11,2,3,3,5,2,4,2,10,2,5,2,7
98,1,1,1,3,3,0,0,6,4,4,3,6,2,5,1,11
99,1,3,1,21,1,5,0,15,3,0,2,12,2,6,2,18
100,2,3,0,4,2,0,1,4,3,4,4,8,3,5,1,8
,,,,,,,,,,,,,,,,
Accuracy @hop 0,0,1,19,0,0,40,36,0,0,1,6,1,1,0,15,0
Average Hop Error ,1.84,2.22,1.46,15.22,2.03,1.52,1.31,7.7,3.09,3.38,3.04,13.57,2.05,4.24,1.64,10.45
Accuracy @hops 0-1,39,23,62,0,25,51,71,3,1,4,20,1,1,0,52,2
