,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
18,1,4,2,1,0,0,2,4,0,0,2,7,2,6,19,22,1,2,2,3,0,0,0,4,0,1,0,6,2,5,6,8,1,3,2,4,2,3,4,5,2,3,2,4,4,17,11,9,2,2,2,2,3,4,5,5,2,3,2,7,2,11,15,10
19,1,2,2,3,0,0,2,4,1,2,2,6,4,13,14,12,1,2,2,1,0,0,0,4,1,0,1,8,3,7,4,9,2,3,4,3,2,3,1,4,3,3,5,5,8,14,14,20,2,3,2,3,2,4,4,4,2,2,2,6,9,13,9,24
20,1,2,2,3,0,1,1,3,0,3,1,2,1,9,19,17,1,1,2,2,0,0,3,4,0,1,0,6,1,6,10,7,2,2,4,4,0,3,3,4,1,5,2,2,4,2,12,14,2,2,2,2,1,4,5,4,1,1,1,2,5,5,8,12
21,1,2,2,3,0,0,3,3,1,1,0,3,3,14,17,9,1,1,2,1,0,0,2,4,0,0,0,7,2,7,7,7,0,3,2,3,0,2,5,5,3,4,4,4,4,11,18,20,2,2,2,3,3,3,5,5,0,1,0,3,5,6,6,20
22,1,1,1,3,0,1,1,4,0,1,1,5,4,9,15,23,1,1,1,2,0,0,0,4,0,1,0,8,4,9,9,10,1,2,3,4,2,3,4,4,1,1,2,5,4,11,19,21,2,2,2,2,3,3,3,4,1,1,1,5,5,14,7,12
23,1,4,1,2,2,0,2,3,0,1,2,3,6,11,12,18,1,3,1,2,0,0,0,4,1,1,1,2,2,9,6,16,1,2,3,4,1,1,4,5,2,4,3,6,9,16,16,11,1,2,2,3,3,4,4,4,2,2,2,3,4,13,9,15
24,1,1,2,3,0,0,2,2,0,7,2,1,5,6,11,16,1,2,2,1,0,0,0,5,0,2,1,8,5,2,1,9,0,2,1,3,2,3,4,5,3,2,5,2,4,7,5,20,2,2,2,4,3,2,4,4,1,7,2,1,5,9,6,6
25,1,1,2,3,0,0,1,4,0,0,0,4,8,9,17,6,1,1,2,2,0,0,1,3,1,1,0,8,7,8,13,13,0,2,4,4,1,3,4,4,2,1,1,4,5,17,16,19,2,2,2,2,3,2,4,4,1,0,0,4,3,4,15,7
26,1,1,1,3,0,1,1,3,0,0,1,2,5,9,15,21,1,1,3,1,0,0,0,4,1,0,1,7,2,5,12,20,2,2,4,3,0,3,4,5,1,1,2,2,3,14,26,21,2,2,2,3,3,3,5,4,1,0,2,2,4,13,8,15
27,1,2,2,1,0,1,2,3,0,2,4,6,3,14,20,14,1,2,2,3,0,0,1,4,0,0,0,5,2,6,8,15,2,2,4,4,1,2,3,4,1,3,4,5,5,10,8,26,1,2,2,2,2,3,4,5,1,3,4,1,6,11,9,20
28,1,3,3,3,1,1,2,3,2,4,2,1,1,15,18,4,1,1,2,2,1,0,0,5,1,0,1,7,1,13,9,6,1,2,4,2,3,2,2,5,1,3,2,3,4,18,17,16,2,2,0,2,4,3,3,5,1,4,2,1,5,16,3,10
29,1,5,1,3,0,0,3,4,0,0,1,2,1,10,19,13,1,3,1,2,0,0,3,4,0,0,1,8,2,7,12,6,2,2,2,4,1,3,3,5,1,3,2,7,2,7,14,4,2,2,2,2,3,4,4,5,0,0,1,2,3,11,16,18
30,1,2,4,3,0,0,2,3,1,1,2,1,0,9,13,15,1,1,4,1,0,0,3,3,1,0,1,9,1,2,5,13,1,2,2,3,0,2,4,4,2,1,5,2,4,6,7,11,1,2,2,3,2,4,5,3,2,1,2,1,5,10,9,16
31,1,2,2,3,0,1,3,4,1,1,1,3,4,9,17,15,2,1,2,1,0,0,2,4,0,0,1,6,4,7,8,12,1,3,2,4,2,2,4,4,1,3,2,3,7,6,0,9,2,3,2,2,3,2,5,5,2,1,2,3,6,7,1,13
32,1,2,1,1,0,1,3,4,0,3,0,1,5,12,17,14,1,1,2,2,0,0,3,4,0,1,0,2,5,9,5,8,2,2,4,3,1,2,4,4,0,4,4,5,5,12,9,19,2,2,2,2,2,4,3,5,0,3,0,1,1,8,9,20
33,1,2,2,4,0,1,2,2,0,1,1,3,5,16,14,23,1,1,2,2,0,0,1,4,0,0,1,7,4,12,5,6,1,3,4,6,2,2,3,5,2,2,4,6,8,7,7,14,2,3,2,2,3,4,4,3,1,2,1,3,2,8,9,18
34,1,2,1,1,0,0,1,4,0,0,1,0,7,7,21,2,1,1,3,2,0,0,0,4,0,0,1,9,5,6,12,17,2,2,2,4,1,3,4,3,1,1,1,2,11,12,14,28,2,2,2,2,3,4,5,4,1,0,1,0,2,7,16,5
35,1,3,2,3,0,0,3,4,0,2,1,2,5,10,14,10,1,1,2,2,0,0,3,4,0,0,2,2,2,5,4,13,2,4,2,4,2,2,3,5,2,4,1,2,4,11,14,27,2,2,2,2,2,3,4,6,1,2,1,2,2,11,14,16
